Id,Action
1,0.11995
2,0.99949
3,0.99986
4,0.99333
5,1
6,0.99999
7,0.99922
8,1
9,0.55721
10,0.99909
11,0.995
12,0.99379
13,0.96192
14,0.33856
15,0.99692
16,0.99991
17,0.11452
18,0.99175
19,0.99982
20,0.99922
21,0.99997
22,0.99916
23,0.90805
24,0.97014
25,0.99277
26,0.91483
27,0.26183
28,0.3784
29,0.9999
30,1
31,0.99907
32,0.9973
33,0.98833
34,0.9994
35,0.99671
36,0.99991
37,0.99938
38,0.99954
39,1
40,0.95266
41,0.53469
42,0.9971
43,0.99808
44,0.99965
45,0.94331
46,0.99475
47,0.99998
48,0.95672
49,1
50,0.99224
51,0.99967
52,0.99959
53,0.99898
54,0.99995
55,1
56,0.55979
57,0.99987
58,1
59,0.99944
60,0.99907
61,0.9999
62,0.9991
63,0.99086
64,0.99996
65,0.99994
66,0.9985
67,0.9462
68,0.99991
69,0.99904
70,0.22843
71,0.99563
72,0.9997
73,0.99793
74,0.99997
75,0.99653
76,0.99993
77,0.99997
78,0.426
79,0.31761
80,0.99989
81,0.99996
82,0.99967
83,0.99782
84,0.99989
85,0.99801
86,0.57299
87,0.89171
88,0.99957
89,0.99953
90,0.48663
91,0.99821
92,0.9549
93,0.99983
94,0.993
95,0.99987
96,0.97547
97,0.7539
98,0.99645
99,0.99989
100,0.99979
101,0.99931
102,0.00048562
103,0.99907
104,0.90107
105,0.61901
106,0.99989
107,0.99999
108,0.99074
109,0.99986
110,0.99851
111,0.97108
112,0.9955
113,0.99894
114,1
115,0.99959
116,0.99666
117,0.9949
118,0.9999
119,1
120,0.99995
121,0.99912
122,0.99949
123,0.90685
124,0.99972
125,0.99991
126,0.91306
127,0.019353
128,0.82569
129,0.87345
130,0.97773
131,1
132,0.99947
133,0.99879
134,0.62834
135,0.99906
136,0.96552
137,0.99984
138,0.98964
139,1
140,0.99998
141,0.9999
142,1
143,0.9999
144,0.9986
145,1
146,0.015987
147,0.19524
148,0.95943
149,1
150,0.998
151,0.99944
152,0.9382
153,0.99932
154,0.99819
155,0.99776
156,0.99645
157,0.99918
158,0.97588
159,0.99992
160,0.98406
161,0.2258
162,0.99999
163,0.99948
164,0.99124
165,0.99881
166,1
167,0.99852
168,0.99927
169,0.98526
170,0.99998
171,0.99933
172,0.99922
173,0.99956
174,0.99918
175,0.99901
176,0.99999
177,1
178,0.99998
179,0.99996
180,0.23269
181,0.26669
182,0.87976
183,0.96376
184,0.99529
185,0.99956
186,0.981
187,0.99908
188,0.99916
189,0.97673
190,0.99968
191,1
192,0.97815
193,1
194,0.99811
195,0.99572
196,1
197,0.97109
198,0.99887
